评论
"<a href=/n/耿向顺 usercard=""name=@耿向顺"">@耿向顺</a>: 同学们～我们发起了一个专门为农村小镇大学生提供职业规划、求职面试、考研留学、职业技能提升等方面支持的公益项目后浪青年赋能计划，目前已经开展60多次课程活动、服务上万大学生，纯公益，不收任何费用，有需要可以进群参加，第三期即将开始:项目详情<a target=""_blank"" href=""https://weibo.com/5539703320/4770537940714874""><img class=""icon-link"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_weibo_default.png""/>微博正文</a>"
说说看，你最想考上的大学和专业是什么？
考研只有考上的那一刻是开心的，接下来都是痛苦
"接接接我这样的人最适合吃读研的苦<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />"
渣浪，一天一个考研热搜，让人焦虑死了
真美好！211研究生毕业坐在月工资五千的办公室的我看着这些文字，仍然记得考研那年的辛苦与美好期望……
一切顺其自然，只是辜负了几个月坚持不懈起早摸黑的自己了
我们当年考研录取率是5:1，录取线是320分，不知道今年的录取率有多高？
"考上了就一切都好了么？？考上了可能是新的痛苦开始<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
"没考上会痛苦，考上了也会痛苦，人生啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
等分来，等分来，分从四面八方来，下午两点才查成绩，希望实际比估分高！
转发微博
谢谢 一志愿高分上岸！
转发微博
"愿弟弟得偿所愿<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
